"CBP.Entry...Port.of.Entry.Code","CBP.Entry...Port.of.Entry.Name","CBP.Line...Country.of.Origin","total_quantity"
2507,"CALEXICO EAST, CA","MEXICO",84724688.4256911
2608,"SAN LUIS, AZ","MEXICO",26418615.9752116
5201,"MIAMI, FL","PERU",24946910.785
2506,"OTAY MESA, CA","MEXICO",14089021.2153433
5206,"MIAMI INT. AIRPORT, FL","PERU",6466814.03
2305,"HIDALGO, TX","MEXICO",4817976.57699033
901,"BUFFALO-NIAGRA FALLS, NY","CANADA",4066941.45787879
5203,"PORT EVERGLADES, FL","PERU",1382530.29
3801,"DETROIT, MI","CANADA",863036.76152712
3802,"PORT HURON, MI","CANADA",575945.1913923
712,"CHAMPLAIN-ROUSES POINT, NY","CANADA",394008.34794542
2501,"SAN DIEGO, CA","ECUADOR",367947
5206,"MIAMI INT. AIRPORT, FL","ECUADOR",358621.7
2304,"LAREDO, TX","MEXICO",193311
5201,"MIAMI, FL","ECUADOR",175515
2720,"LOS ANGELES INT. AIRPORT, CA","PERU",151566.61
2604,"NOGALES, AZ","MEXICO",92889.35
2720,"LOS ANGELES INT. AIRPORT, CA","ECUADOR",59120
2720,"LOS ANGELES INT. AIRPORT, CA","NETHERLANDS",44050.14
5206,"MIAMI INT. AIRPORT, FL","ARGENTINA",44005
4701,"JOHN F. KENNEDY INT. AIRPORT, NY","FRANCE",37473.77013065
2720,"LOS ANGELES INT. AIRPORT, CA","AUSTRALIA",30180
2801,"SAN FRANCISCO INT. AIRPORT, CA","NETHERLANDS",29626
4701,"JOHN F. KENNEDY INT. AIRPORT, NY","NETHERLANDS",29471
1102,"CHESTER, PA","PERU",15621.2
5201,"MIAMI, FL","GUATEMALA",10512.02
4601,"NEW YORK-NEWARK, NJ","FRANCE",9397
4601,"NEW YORK-NEWARK, NJ","AUSTRIA",8488
5206,"MIAMI INT. AIRPORT, FL","NETHERLANDS",4423
2507,"CALEXICO EAST, CA","MICRONESIA",4268
4701,"JOHN F. KENNEDY INT. AIRPORT, NY","UNITED KINGDOM",3450
2904,"PORTLAND, OR","NETHERLANDS",2380
2720,"LOS ANGELES INT. AIRPORT, CA","FRANCE",2120
2801,"SAN FRANCISCO INT. AIRPORT, CA","BELGIUM",1675
2801,"SAN FRANCISCO INT. AIRPORT, CA","FRANCE",1360
5201,"MIAMI, FL","GUATEMALA                     ",1312.47
5206,"MIAMI INT. AIRPORT, FL","GUATEMALA",1296.42
4701,"JOHN F. KENNEDY INT. AIRPORT, NY","CHILE",1270
4701,"JOHN F. KENNEDY INT. AIRPORT, NY","GERMANY",750
5203,"PORT EVERGLADES, FL","GUATEMALA                     ",748.44
4701,"JOHN F. KENNEDY INT. AIRPORT, NY","ITALY",535
5203,"PORT EVERGLADES, FL","GUATEMALA",504.86
3004,"BLAINE, WA","BELGIUM",455.86033185
4601,"NEW YORK-NEWARK, NJ","NETHERLANDS",450
2307,"RIO GRANDE CITY, TX","MEXICO",365
417,"LOGAN AIRPORT, MA","NETHERLANDS",259
209,"DERBY LINE, VT","CANADA",254
2904,"PORTLAND, OR","BELGIUM",250
3004,"BLAINE, WA","NETHERLANDS",249.4758035
5309,"HOUSTON INTC. AIRPORT, TX","FRANCE",230
2910,"PORTLAND INT. AIRPORT, OR","BELGIUM",100
2720,"LOS ANGELES INT. AIRPORT, CA","GERMANY",60
2720,"LOS ANGELES INT. AIRPORT, CA","JAPAN",44.3
1108,"PHILADELPHIA INT. AIRPORT, PA","NETHERLANDS",20
2506,"OTAY MESA, CA","UNITED STATES OF AMERICA",6.72
1101,"PHILADELPHIA, PA","PERU",5
5206,"MIAMI INT. AIRPORT, FL","UNITED STATES OF AMERICA",5
4701,"JOHN F. KENNEDY INT. AIRPORT, NY","JAPAN",1
5206,"MIAMI INT. AIRPORT, FL","CHILE",1
