"entry_year","CBP.Entry...Port.of.Entry.Code","CBP.Entry...Port.of.Entry.Name","CBP.Line...Country.of.Origin","total_quantity"
2025,2507,"CALEXICO EAST, CA","MEXICO",74872851.186
2025,2608,"SAN LUIS, AZ","MEXICO",21770660.734
2024,2506,"OTAY MESA, CA","MEXICO",11457841.6053433
2024,5201,"MIAMI, FL","PERU",10475563.1
2024,2507,"CALEXICO EAST, CA","MEXICO",9224768.11394402
2025,5201,"MIAMI, FL","PERU",8697887.955
NA,5201,"MIAMI, FL","PERU",5745649.73
2024,2608,"SAN LUIS, AZ","MEXICO",4543916.95121161
2024,2305,"HIDALGO, TX","MEXICO",3802195.84699033
2024,5206,"MIAMI INT. AIRPORT, FL","PERU",3113083.4
2025,2506,"OTAY MESA, CA","MEXICO",2570068.91
2024,901,"BUFFALO-NIAGRA FALLS, NY","CANADA",2143338.10387314
2025,5206,"MIAMI INT. AIRPORT, FL","PERU",2142651.59
2025,901,"BUFFALO-NIAGRA FALLS, NY","CANADA",1595239.69
NA,5206,"MIAMI INT. AIRPORT, FL","PERU",1203777.04
2025,2305,"HIDALGO, TX","MEXICO",990378.73
2024,5203,"PORT EVERGLADES, FL","PERU",866130.29
NA,2507,"CALEXICO EAST, CA","MEXICO",551563.73574706
2024,3801,"DETROIT, MI","CANADA",491167.35702656
2025,3801,"DETROIT, MI","CANADA",331998.35
NA,901,"BUFFALO-NIAGRA FALLS, NY","CANADA",328363.66400565
2024,3802,"PORT HURON, MI","CANADA",305486.6713923
NA,5203,"PORT EVERGLADES, FL","PERU",287071
2024,5206,"MIAMI INT. AIRPORT, FL","ECUADOR",263927
2025,3802,"PORT HURON, MI","CANADA",254383.21
2025,5203,"PORT EVERGLADES, FL","PERU",229264
2025,712,"CHAMPLAIN-ROUSES POINT, NY","CANADA",188689.98
2025,2501,"SAN DIEGO, CA","ECUADOR",179552
2024,2304,"LAREDO, TX","MEXICO",158082
2024,5201,"MIAMI, FL","ECUADOR",145230
2024,712,"CHAMPLAIN-ROUSES POINT, NY","CANADA",143530.42649262
NA,2501,"SAN DIEGO, CA","ECUADOR",123104
NA,2608,"SAN LUIS, AZ","MEXICO",104038.29
2025,5206,"MIAMI INT. AIRPORT, FL","ECUADOR",88085.7
2024,2720,"LOS ANGELES INT. AIRPORT, CA","PERU",77967
2022,2507,"CALEXICO EAST, CA","MEXICO",75505.39
2025,2720,"LOS ANGELES INT. AIRPORT, CA","PERU",73599.61
2024,2501,"SAN DIEGO, CA","ECUADOR",65291
NA,2506,"OTAY MESA, CA","MEXICO",61110.7
2025,2604,"NOGALES, AZ","MEXICO",57707.52
NA,712,"CHAMPLAIN-ROUSES POINT, NY","CANADA",46750.82629056
2024,5206,"MIAMI INT. AIRPORT, FL","ARGENTINA",41000
2025,2720,"LOS ANGELES INT. AIRPORT, CA","ECUADOR",37580
2025,2304,"LAREDO, TX","MEXICO",35229
NA,3801,"DETROIT, MI","CANADA",33774.71821
NA,5201,"MIAMI, FL","ECUADOR",30260
2025,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","NETHERLANDS",29471
2021,5201,"MIAMI, FL","PERU",27810
NA,2305,"HIDALGO, TX","MEXICO",25402
2024,2720,"LOS ANGELES INT. AIRPORT, CA","AUSTRALIA",23520
2024,2604,"NOGALES, AZ","MEXICO",18123.83
NA,2604,"NOGALES, AZ","MEXICO",17058
2025,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","FRANCE",16187
NA,3802,"PORT HURON, MI","CANADA",16075.31
NA,1102,"CHESTER, PA","PERU",15616.2
2021,712,"CHAMPLAIN-ROUSES POINT, NY","CANADA",13005.02516224
2023,2720,"LOS ANGELES INT. AIRPORT, CA","NETHERLANDS",12982.31
2024,2720,"LOS ANGELES INT. AIRPORT, CA","ECUADOR",12500
